Site;Region;Latitude;Longitude;Altitude (m);Ecological type;Vegetation cover(%);VMC(%);MAGT(oC);Geomorphic unit;Soil type;;;;;;;;;;;;;;;;;;;;;;;;;;
KL1;Kaixinling;34.01;92.34;4672;Alpine steppe;22.6;74.5;-0.74 ;Plain;Clayey loam;;;;;;;;;;;;;;;;;;;;;;;;;;
KXL1;Kaixinling;33.96;92.35;4627;Alpine meadow;38.25;40.6;-0.92 ;Plain;Sandy loam with gravel;;;;;;;;;;;;;;;;;;;;;;;;;;
KL3;Kaixinling;33.96;92.34;4622;Alpine steppe;21.5;31;-0.84 ;Mountain;Sand;;;;;;;;;;;;;;;;;;;;;;;;;;
TT1;Buquhe;33.77;92.23;4622;Alpine desert steppe;11;45;-0.33 ;Plain;Sandy loam with gravel;;;;;;;;;;;;;;;;;;;;;;;;;;
WQ1;Wenquang;33.47;91.94;4778;Alpine desert steppe;13;20.7;-0.09 ;Plain;Sand;;;;;;;;;;;;;;;;;;;;;;;;;;
WQ2;Wenquang;33.40;91.95;4817;Alpine desert steppe;8.9;13.8;-0.36 ;Plain;Sandy loam with gravel;;;;;;;;;;;;;;;;;;;;;;;;;;
TG2;Tanggulashan;33.30;91.87;4841;Alpine steppe;23.5;23.5;0.66 ;Basin;Sand + Gravel;;;;;;;;;;;;;;;;;;;;;;;;;;
TGB1;Tanggulashan;33.10;91.90;4948;Alpine steppe;29;36.6;-1.23 ;Basin;Sand + Gravel;;;;;;;;;;;;;;;;;;;;;;;;;;
TG3;Tanggulashan;33.07;91.75;4926;Alpine meadow;87.7;34.8;-1.20 ;Basin;Sand + Gravel;;;;;;;;;;;;;;;;;;;;;;;;;;
TG4;Tanggulashan;33.01;91.66;4974;Alpine desert steppe;2.2;112.2;-1.28 ;Basin;Sand;;;;;;;;;;;;;;;;;;;;;;;;;;
TG1;Tanggulashan;32.71;91.88;4995;Alpine steppe;14;21.1;-0.92 ;Basin;Sandy loam;;;;;;;;;;;;;;;;;;;;;;;;;;
TEM1;Touerjiushan;32.61;91.86;5059;Alpine desert steppe;6.6;12.9;-1.00 ;Basin;Sand;;;;;;;;;;;;;;;;;;;;;;;;;;
TJ1;Touerjiushan;32.51;91.53;4868;Alpine desert steppe;9.5;13.2;-0.23 ;Basin;Sandy loam;;;;;;;;;;;;;;;;;;;;;;;;;;
TM1;Touerjiushan;32.49;91.83;4897;Alpine  steppe;32.75;12.8;-0.82 ;Basin;Sand;;;;;;;;;;;;;;;;;;;;;;;;;;
AMD1;Amduo;32.40;91.75;4801;Alpine meadow;78.25;51.3;-0.01 ;Basin;Sandy loam;;;;;;;;;;;;;;;;;;;;;;;;;;
TJ2;Touerjiushan;32.39;91.62;4887;Alpine desert steppe;10.5;67.3;-0.06 ;Basin;Sand;;;;;;;;;;;;;;;;;;;;;;;;;;
AD1;Amduo;32.39;91.72;4784;Alpine meadow;93;21.1;-0.09 ;Basin;Sandy loam;;;;;;;;;;;;;;;;;;;;;;;;;;
AD2;Amduo;32.31;91.58;4814;Apine meadow;88;52.64;-0.06 ;Basin;Sand;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
